Variable,Beta,exp(Beta),Reported_OR,Difference
Male,0.479,1.614459135558623,1.614,0.0004591355586229806
Young,0.771,2.161927100281878,2.162,-7.289971812207696e-05
Middle,0.844,2.3256510003566726,2.325,0.0006510003566724265
Elder,0.12,1.1274968515793757,0.872,0.25549685157937574
Path_Change,2.116,8.297879498060171,8.3,-0.002120501939829822
Two_Pedestrians,-0.54,0.5827482523739896,0.582,0.0007482523739896774
More_Pedestrians,-2.003,0.13492988578712511,0.135,-7.011421287489439e-05
Three_Wheeler,0.99,2.691234472349262,2.691,0.00023447234926221583
Four_Wheeler,0.48,1.6160744021928934,1.615,0.0010744021928934533
Heavy_Vehicle,0.426,1.5311207751332474,1.531,0.00012077513324748601
Vehicle_Speed,0.037,1.0376930208381572,1.037,0.0006930208381572545
Vehicle_Gap,0.217,1.242344102137764,1.242,0.0003441021377639242
Pedestrian_Speed,0.295,1.3431263586862767,1.343,0.00012635868627675073
Waiting_Time,0.114,1.120752124884153,1.121,-0.00024787511584700717
Lag,0.72,2.0544332106438876,2.054,0.0004332106438877936
Vehicle_Encountered,-0.033,0.967538559589032,0.968,-0.0004614404109679615
