Variable,Value,Predicted_Probability
Vehicle_Speed,10.0,0.25334665124617045
Vehicle_Speed,15.0,0.2794701467333046
Vehicle_Speed,20.0,0.3070121630412725
Vehicle_Speed,25.0,0.33585501188422506
Vehicle_Speed,30.0,0.3658514503176826
Vehicle_Speed,35.0,0.39682657582179093
Vehicle_Gap,1.5,0.24187481580445663
Vehicle_Gap,2.0,0.25664783351834225
Vehicle_Gap,3.0,0.2877320098926045
Vehicle_Gap,4.0,0.32073679707182573
Vehicle_Gap,5.0,0.35545561498919087
Vehicle_Gap,6.0,0.3916261558608665
Waiting_Time,2.0,0.15819905588909752
Waiting_Time,5.0,0.19700911039691696
Waiting_Time,10.0,0.27484863741096155
Waiting_Time,15.0,0.3675251917395284
Waiting_Time,20.0,0.47020405397186066
Waiting_Time,30.0,0.6748937673476512
Waiting_Time,40.0,0.8339848360635308
Pedestrian_Speed,0.6,0.278859077438745
Pedestrian_Speed,0.8,0.287464835341144
Pedestrian_Speed,1.0,0.2962106496285184
Pedestrian_Speed,1.2,0.30509276172072686
Pedestrian_Speed,1.5,0.31866252008831436
Pedestrian_Speed,2.0,0.34189846999094875
Vehicle_Encountered,0.0,0.341244580058331
Vehicle_Encountered,2.0,0.33076365363054766
Vehicle_Encountered,5.0,0.3153257548750938
Vehicle_Encountered,10.0,0.2904055252573559
Vehicle_Encountered,15.0,0.266572550313247
Vehicle_Encountered,20.0,0.2438969660712712
Vehicle_Encountered,25.0,0.22243050893332306
